num_nodes,dropout_prob,lr,batch_size,epochs,val_loss,val_acc
32,0.0,0.01,32,5,0.3255201578140259,0.8604100942611694
64,0.2,0.01,128,5,0.3277732729911804,0.8583070635795593
64,0.0,0.005,64,5,0.3301489055156708,0.8580441474914551
64,0.0,0.001,32,5,0.3312312066555023,0.8575183749198914
32,0.0,0.005,128,5,0.3317093849182129,0.8530493974685669
64,0.2,0.005,64,5,0.3334466814994812,0.8564668893814087
64,0.0,0.01,128,5,0.3347108066082001,0.8533123135566711
32,0.0,0.005,32,5,0.33547917008399963,0.8567297458648682
64,0.0,0.01,32,5,0.3361762762069702,0.8575183749198914
32,0.2,0.01,128,5,0.3364584147930145,0.8569926619529724
64,0.0,0.005,128,5,0.33710169792175293,0.8554153442382812
32,0.2,0.005,32,5,0.33841854333877563,0.8538380861282349
64,0.0,0.005,32,5,0.33842289447784424,0.8530493974685669
16,0.0,0.005,32,5,0.33897101879119873,0.8533123135566711
32,0.2,0.005,64,5,0.3390415608882904,0.85173499584198
64,0.2,0.005,32,5,0.34000250697135925,0.8546267151832581
64,0.2,0.005,128,5,0.34003856778144836,0.8556782603263855
32,0.2,0.005,128,5,0.3401024043560028,0.8522607684135437
16,0.2,0.01,128,5,0.34235653281211853,0.851209282875061
32,0.0,0.005,64,5,0.3428981602191925,0.8493691086769104
32,0.2,0.01,32,5,0.34366166591644287,0.8604100942611694
32,0.2,0.01,64,5,0.34368443489074707,0.858832836151123
64,0.2,0.01,32,5,0.3442300856113434,0.8538380861282349
64,0.0,0.01,64,5,0.34496453404426575,0.8533123135566711
32,0.0,0.01,128,5,0.3464629650115967,0.8556782603263855
16,0.0,0.01,128,5,0.3473603427410126,0.85173499584198
64,0.2,0.001,64,5,0.3485366702079773,0.8493691086769104
16,0.2,0.005,64,5,0.3502732813358307,0.8449001312255859
16,0.2,0.01,32,5,0.35073500871658325,0.848317563533783
64,0.2,0.001,32,5,0.3528650999069214,0.8464773893356323
32,0.0,0.001,32,5,0.3530476689338684,0.8456887602806091
64,0.0,0.001,64,5,0.3535281717777252,0.844111442565918
64,0.0,0.001,128,5,0.3539389669895172,0.848317563533783
16,0.0,0.005,64,5,0.3540744185447693,0.8488433361053467
64,0.2,0.01,64,5,0.35488763451576233,0.8519979119300842
32,0.0,0.001,64,5,0.3577723801136017,0.8501577377319336
16,0.0,0.01,64,5,0.35866379737854004,0.8464773893356323
32,0.2,0.001,64,5,0.36359360814094543,0.8446372151374817
64,0.2,0.001,128,5,0.3639383912086487,0.8412197828292847
32,0.0,0.001,128,5,0.364234983921051,0.842797040939331
16,0.2,0.005,32,5,0.36527103185653687,0.8333333134651184
32,0.2,0.001,32,5,0.3662509322166443,0.8430599570274353
16,0.2,0.005,128,5,0.3672144114971161,0.8433228135108948
16,0.2,0.01,64,5,0.37139633297920227,0.8367508053779602
16,0.0,0.01,32,5,0.37513068318367004,0.8335962295532227
16,0.0,0.005,128,5,0.37703201174736023,0.8301787376403809
16,0.0,0.001,32,5,0.37904196977615356,0.8346477150917053
16,0.0,0.001,64,5,0.3843013048171997,0.8286014795303345
32,0.2,0.001,128,5,0.3851814270019531,0.8254469037055969
16,0.0,0.001,128,5,0.39593788981437683,0.8249211311340332
16,0.2,0.001,32,5,0.39790138602256775,0.8220294713973999
32,0.0,0.01,64,5,0.40549659729003906,0.8191377520561218
16,0.2,0.001,128,5,0.4113510549068451,0.8096740245819092
16,0.2,0.001,64,5,0.41286444664001465,0.8141430020332336
